Legislation Number,Number of Cosponsors
H.R. 6033,3
H.R. 6034,312
H.R. 6035,11
H.R. 6036,20
H.R. 6037,8
H.R. 6038,0
H.R. 6039,26
H.R. 6040,113
H.R. 6041,38
H.R. 6042,4
H.R. 6043,8
H.R. 6044,2
H.R. 6045,26
H.R. 6046,301
H.R. 6047,3
H.R. 6048,12
H.R. 6049,1
H.R. 6050,326
H.R. 6051,0
H.R. 6052,5
H.R. 6053,0
H.R. 6054,81
H.R. 6055,9
H.R. 6056,127
H.R. 6057,0
H.R. 6058,0
H.R. 6059,0
H.R. 6060,29
H.R. 6061,0
H.R. 6062,4
H.R. 6063,43
H.R. 6064,8
H.R. 6065,44
H.R. 6066,0
H.R. 6067,0
H.R. 6068,0
H.R. 6069,0
H.R. 6070,0
H.R. 6071,0
H.R. 6072,30
H.R. 6073,20
H.R. 6074,0
H.R. 6075,0
H.R. 6076,0
H.R. 6077,1
H.R. 6078,45
H.R. 6079,1
H.R. 6080,80
H.R. 6081,1
H.R. 6082,1
H.R. 6083,3
H.R. 6084,1
H.R. 6085,1
H.R. 6086,2
H.R. 6087,33
H.R. 6088,17
H.R. 6089,6
H.R. 6090,0
H.R. 6091,8
H.R. 6092,4
H.R. 6093,19
H.R. 6094,9
H.R. 6095,1
H.R. 6096,1
H.R. 6097,1
H.R. 6098,29
H.R. 6099,5
H.R. 6100,2
H.R. 6101,0
H.R. 6102,13
H.R. 6103,1
H.R. 6104,23
H.R. 6105,1
H.R. 6106,1
H.R. 6107,1
H.R. 6108,1
H.R. 6109,2
H.R. 6110,1
H.R. 6111,1
H.R. 6112,1
H.R. 6113,18
H.R. 6114,3
H.R. 6115,1
H.R. 6116,7
H.R. 6117,2
H.R. 6118,1
H.R. 6119,10
H.R. 6120,3
H.R. 6121,1
H.R. 6122,17
H.R. 6123,1
H.R. 6124,3
H.R. 6125,0
H.R. 6126,22
H.R. 6127,0
H.R. 6128,1
H.R. 6129,1
H.R. 6130,10
H.R. 6131,1
H.R. 6132,1
H.R. 6133,1
H.R. 6134,15
H.R. 6135,83
H.R. 6136,1
H.R. 6137,1
H.R. 6138,1
H.R. 6139,12
H.R. 6140,7
H.R. 6141,4
H.R. 6142,1
H.R. 6143,1
H.R. 6144,1
H.R. 6145,61
H.R. 6146,1
H.R. 6147,1
H.R. 6148,2
H.R. 6149,2
H.R. 6150,2
H.R. 6151,2
H.R. 6152,10
H.R. 6153,17
H.R. 6154,0
H.R. 6155,0
H.R. 6156,3
H.R. 6157,48
H.R. 6158,6
H.R. 6159,14
H.R. 6160,0
H.R. 6161,1
H.R. 6162,0
H.R. 6163,5
H.R. 6164,1
H.R. 6165,14
H.R. 6166,1
H.R. 6167,1
H.R. 6168,51
H.R. 6169,1
H.R. 6170,0
H.R. 6171,1
H.R. 6172,14
H.R. 6173,6
H.R. 6174,13
H.R. 6175,33
H.R. 6176,0
H.R. 6177,40
H.R. 6178,13
H.R. 6179,11
H.R. 6180,5
H.R. 6181,22
H.R. 6182,18
H.R. 6183,5
H.R. 6184,0
H.R. 6185,0
H.R. 6186,56
H.R. 6187,5
H.R. 6188,28
H.R. 6189,1
H.R. 6190,14
H.R. 6191,4
H.R. 6192,3
H.R. 6193,3
H.R. 6194,0
H.R. 6195,52
H.R. 6196,145
H.R. 6197,2
H.R. 6198,2
H.R. 6199,0
H.R. 6200,1
H.R. 6201,2
H.R. 6202,28
H.R. 6203,6
H.R. 6204,19
H.R. 6205,33
H.R. 6206,23
H.R. 6207,3
H.R. 6208,13
H.R. 6209,129
H.R. 6210,2
H.R. 6211,0
H.R. 6212,25
H.R. 6213,20
H.R. 6214,46
H.R. 6215,4
H.R. 6216,11
H.R. 6217,28
H.R. 6218,0
H.R. 6219,51
H.R. 6220,3
H.R. 6221,3
H.R. 6222,1
H.R. 6223,6
H.R. 6224,87
H.R. 6225,3
H.R. 6226,0
H.R. 6227,0
H.R. 6228,22
H.R. 6229,1
H.R. 6230,5
H.R. 6231,53
H.R. 6232,29
H.R. 6233,8
H.R. 6234,37
H.R. 6235,332
H.R. 6236,27
H.R. 6237,6
H.R. 6238,0
H.R. 6239,1
H.R. 6240,23
H.R. 6241,1
H.R. 6242,8
H.R. 6243,8
H.R. 6244,8
H.R. 6245,0
H.R. 6246,7
H.R. 6247,305
H.R. 6248,1
H.R. 6249,1
H.R. 6250,1
H.R. 6251,52
H.R. 6252,301
H.R. 6253,0
H.R. 6254,3
H.R. 6255,0
H.R. 6256,6
H.R. 6257,16
H.R. 6258,5
H.R. 6259,1
H.R. 6260,1
H.R. 6261,3
H.R. 6262,9
H.R. 6263,7
H.R. 6264,25
H.R. 6265,69
H.R. 6266,31
H.R. 6267,0
H.R. 6268,1
H.R. 6269,2
H.R. 6270,2
H.R. 6271,296
H.R. 6272,0
H.R. 6273,298
H.R. 6274,308
H.R. 6275,27
H.R. 6276,18
H.R. 6277,24
H.R. 6278,0
H.R. 6279,2
H.R. 6280,27
H.R. 6281,0
H.R. 6282,3
H.R. 6283,5
H.R. 6284,1
H.R. 6285,294
H.R. 6286,0
H.R. 6287,27
H.R. 6288,3
H.R. 6289,9
H.R. 6290,9
H.R. 6291,21
H.R. 6292,13
H.R. 6293,0
H.R. 6294,0
H.R. 6295,100
H.R. 6296,48
H.R. 6297,364
H.R. 6298,6
H.R. 6299,0
H.R. 6300,65
H.R. 6301,0
H.R. 6302,4
H.R. 6303,21
H.R. 6304,31
H.R. 6305,3
H.R. 6306,0
H.R. 6307,1
H.R. 6308,0
H.R. 6309,55
H.R. 6310,4
H.R. 6311,13
H.R. 6312,11
H.R. 6313,4
H.R. 6314,0
H.R. 6315,116
H.R. 6316,1
H.R. 6317,2
H.R. 6318,3
H.R. 6319,5
H.R. 6320,0
H.R. 6321,4
H.R. 6322,2
H.R. 6323,3
H.R. 6324,301
H.R. 6325,0
H.R. 6326,52
H.R. 6327,12
H.R. 6328,31
H.R. 6329,11
H.R. 6330,0
H.R. 6331,269
H.R. 6332,4
H.R. 6333,24
H.R. 6334,0
H.R. 6335,12
H.R. 6336,2
H.R. 6337,0
H.R. 6338,0
H.R. 6339,34
H.R. 6340,0
H.R. 6341,3
H.R. 6342,3
H.R. 6343,1
H.R. 6344,0
H.R. 6345,1
H.R. 6346,31
H.R. 6347,20
H.R. 6348,0
H.R. 6349,28
H.R. 6350,273
H.R. 6351,0
H.R. 6352,0
H.R. 6353,0
H.R. 6354,0
H.R. 6355,0
H.R. 6356,0
H.R. 6357,0
H.R. 6358,1
H.R. 6359,0
H.R. 6360,2
H.R. 6361,1
H.R. 6362,1
H.R. 6363,1
H.R. 6364,10
H.R. 6365,1
H.R. 6366,1
H.R. 6367,3
H.R. 6368,1
H.R. 6369,2
H.R. 6370,9
H.R. 6371,0
H.R. 6372,1
H.R. 6373,4
H.R. 6374,2
H.R. 6375,0
H.R. 6376,4
H.R. 6377,8
H.R. 6378,5
H.R. 6379,2
H.R. 6380,1
H.R. 6381,2
H.R. 6382,8
H.R. 6383,3
H.R. 6384,72
H.R. 6385,0
H.R. 6386,0
H.R. 6387,1
H.R. 6388,2
H.R. 6389,15
H.R. 6390,12
H.R. 6391,1
H.R. 6392,5
H.R. 6393,1
H.R. 6394,21
H.R. 6395,2
H.R. 6396,1
H.R. 6397,0
H.R. 6398,65
H.R. 6399,1
H.R. 6400,30
H.R. 6401,3
H.R. 6402,3
H.R. 6403,0
H.R. 6404,0
H.R. 6405,0
H.R. 6406,0
H.R. 6407,14
H.R. 6408,1
H.R. 6409,14
H.R. 6410,7
H.R. 6411,5
H.R. 6412,0
H.R. 6413,0
H.R. 6414,17
H.R. 6415,0
H.R. 6416,1
H.R. 6417,0
H.R. 6418,66
H.R. 6419,0
H.R. 6420,1
H.R. 6421,1
H.R. 6422,0
H.R. 6423,4
H.R. 6424,1
H.R. 6425,0
H.R. 6426,1
H.R. 6427,1
H.R. 6428,1
H.R. 6429,1
H.R. 6430,2
H.R. 6431,4
H.R. 6432,3
H.R. 6433,2
H.R. 6434,2
H.R. 6435,2
H.R. 6436,1
H.R. 6437,0
H.R. 6438,0
H.R. 6439,0
H.R. 6440,10
H.R. 6441,5
H.R. 6442,0
H.R. 6443,18
H.R. 6444,0
H.R. 6445,2
H.R. 6446,10
H.R. 6447,52
H.R. 6448,0
H.R. 6449,52
H.R. 6450,2
H.R. 6451,2
H.R. 6452,3
H.R. 6453,13
H.R. 6454,0
H.R. 6455,0
H.R. 6456,24
H.R. 6457,2
H.R. 6458,13
H.R. 6459,0
H.R. 6460,0
H.R. 6461,4
H.R. 6462,9
H.R. 6463,3
H.R. 6464,0
H.R. 6465,0
H.R. 6466,13
H.R. 6467,7
H.R. 6468,9
H.R. 6469,4
H.R. 6470,6
H.R. 6471,0
H.R. 6472,24
H.R. 6473,0
H.R. 6474,7
H.R. 6475,6
H.R. 6476,4
H.R. 6477,18
H.R. 6478,18
H.R. 6479,0
H.R. 6480,7
H.R. 6481,262
H.R. 6482,87
H.R. 6483,6
H.R. 6484,9
H.R. 6485,51
H.R. 6486,24
H.R. 6487,16
H.R. 6488,13
H.R. 6489,1
H.R. 6490,20
H.R. 6491,18
H.R. 6492,41
H.R. 6493,52
H.R. 6494,3
H.R. 6495,5
H.R. 6496,79
H.R. 6497,0
H.R. 6498,12
H.R. 6499,41
H.R. 6500,101
H.R. 6501,9
H.R. 6502,26
H.R. 6503,1
H.R. 6504,20
H.R. 6505,3
H.R. 6506,0
H.R. 6507,0
H.R. 6508,0
H.R. 6509,20
H.R. 6510,0
H.R. 6511,19
H.R. 6512,5
H.R. 6513,4
H.R. 6514,16
H.R. 6515,22
H.R. 6516,7
H.R. 6517,4
H.R. 6518,314
H.R. 6519,8
H.R. 6520,12
H.R. 6521,20
H.R. 6522,16
H.R. 6523,69
H.R. 6524,18
H.R. 6525,49
H.R. 6526,10
H.R. 6527,0
H.R. 6528,30
H.R. 6529,163
H.R. 6530,2
H.R. 6531,27
H.R. 6532,0
H.R. 6533,1
H.R. 6534,73
H.R. 6535,4
H.R. 6536,0
H.R. 6537,1
H.R. 6538,12
H.R. 6539,6
H.R. 6540,1
H.R. 6541,6
H.R. 6542,45
H.R. 6543,0
H.R. 6544,0
H.R. 6545,12
H.R. 6546,3
H.R. 6547,3
H.R. 6548,9
H.R. 6549,1
H.R. 6550,0
H.R. 6551,6
H.R. 6552,6
H.R. 6553,6
H.R. 6554,4
H.R. 6555,12
H.R. 6556,3
H.R. 6557,16
H.R. 6558,2
H.R. 6559,1
H.R. 6560,1
H.R. 6561,24
H.R. 6562,10
H.R. 6563,12
H.R. 6564,1
H.R. 6565,0
H.R. 6566,6
H.R. 6567,4
H.R. 6568,1
H.R. 6569,40
H.R. 6570,1
H.R. 6571,6
H.R. 6572,49
H.R. 6573,2
H.R. 6574,12
H.R. 6575,21
H.R. 6576,5
H.R. 6577,0
H.R. 6578,4
H.R. 6579,1
H.R. 6580,2
H.R. 6581,0
H.R. 6582,2
H.R. 6583,51
H.R. 6584,0
H.R. 6585,31
H.R. 6586,1
H.R. 6587,29
H.R. 6588,0
H.R. 6589,48
H.R. 6590,3
H.R. 6591,0
H.R. 6592,0
H.R. 6593,8
H.R. 6594,0
H.R. 6595,0
H.R. 6596,6
H.R. 6597,9
H.R. 6598,156
H.R. 6599,1
H.R. 6600,16
H.R. 6601,0
H.R. 6602,16
H.R. 6603,0
H.R. 6604,28
H.R. 6605,0
H.R. 6606,5
H.R. 6607,11
H.R. 6608,50
H.R. 6609,59
H.R. 6610,10
H.R. 6611,0
H.R. 6612,3
H.R. 6613,1
H.R. 6614,60
H.R. 6615,0
H.R. 6616,170
H.R. 6617,24
H.R. 6618,31
H.R. 6619,0
H.R. 6620,4
H.R. 6621,31
H.R. 6622,298
H.R. 6623,13
H.R. 6624,343
H.R. 6625,1
H.R. 6626,55
H.R. 6627,13
H.R. 6628,0
H.R. 6629,296
H.R. 6630,27
H.R. 6631,18
H.R. 6632,14
H.R. 6633,8
H.R. 6634,3
H.R. 6635,3
H.R. 6636,14
H.R. 6637,4
H.R. 6638,9
H.R. 6639,3
H.R. 6640,26
H.R. 6641,51
H.R. 6642,3
H.R. 6643,4
H.R. 6644,24
H.R. 6645,5
H.R. 6646,154
H.R. 6647,1
H.R. 6648,26
H.R. 6649,37
H.R. 6650,2
H.R. 6651,2
H.R. 6652,3
H.R. 6653,1
H.R. 6654,24
H.R. 6655,178
H.R. 6656,302
H.R. 6657,302
H.R. 6658,300
H.R. 6659,0
H.R. 6660,13
H.R. 6661,1
H.R. 6662,0
H.R. 6663,1
H.R. 6664,125
H.R. 6665,18
H.R. 6666,8
H.R. 6667,10
H.R. 6668,26
H.R. 6669,115
H.R. 6670,4
H.R. 6671,0
H.R. 6672,12
H.R. 6673,27
H.R. 6674,4
H.R. 6675,6
H.R. 6676,0
H.R. 6677,0
H.R. 6678,12
H.R. 6679,3
H.R. 6680,128
H.R. 6681,304
H.R. 6682,4
H.R. 6683,0
H.R. 6684,0
H.R. 6685,10
H.R. 6686,140
H.R. 6687,30
H.R. 6688,43
H.R. 6689,9
H.R. 6690,0
H.R. 6691,0
H.R. 6692,21
H.R. 6693,23
H.R. 6694,0
H.R. 6695,29
H.R. 6696,0
H.R. 6697,49
H.R. 6698,0
H.R. 6699,0
H.R. 6700,39
H.R. 6701,0
H.R. 6702,0
H.R. 6703,0
H.R. 6704,1
H.R. 6705,1
H.R. 6706,1
H.R. 6707,6
H.R. 6708,1
H.R. 6709,10
H.R. 6710,12
H.R. 6711,1
H.R. 6712,1
H.R. 6713,0
H.R. 6714,4
H.R. 6715,6
H.R. 6716,1
H.R. 6717,2
H.R. 6718,5
H.R. 6719,6
H.R. 6720,12
H.R. 6721,0
H.R. 6722,3
H.R. 6723,1
H.R. 6724,19
H.R. 6725,1
H.R. 6726,1
H.R. 6727,3
H.R. 6728,0
H.R. 6729,35
H.R. 6730,10
H.R. 6731,5
H.R. 6732,15
H.R. 6733,1
H.R. 6734,0
H.R. 6735,5
H.R. 6736,0
H.R. 6737,2
H.R. 6738,0
H.R. 6739,7
H.R. 6740,5
H.R. 6741,0
H.R. 6742,5
H.R. 6743,33
H.R. 6744,1
H.R. 6745,1
H.R. 6746,4
H.R. 6747,1
H.R. 6748,1
H.R. 6749,1
H.R. 6750,7
H.R. 6751,44
H.R. 6752,7
H.R. 6753,1
H.R. 6754,0
H.R. 6755,2
H.R. 6756,1
H.R. 6757,0
H.R. 6758,23
H.R. 6759,2
H.R. 6760,3
H.R. 6761,5
H.R. 6762,1
H.R. 6763,1
H.R. 6764,6
H.R. 6765,1
H.R. 6766,21
H.R. 6767,19
H.R. 6768,3
H.R. 6769,2
H.R. 6770,1
H.R. 6771,0
H.R. 6772,5
H.R. 6773,9
H.R. 6774,3
H.R. 6775,1
H.R. 6776,23
H.R. 6777,9
H.R. 6778,2
H.R. 6779,7
H.R. 6780,1
H.R. 6781,1
H.R. 6782,2
H.R. 6783,10
H.R. 6784,1
H.R. 6785,20
H.R. 6786,3
H.R. 6787,2
H.R. 6788,64
H.R. 6789,73
H.R. 6790,0
H.R. 6791,2
H.R. 6792,70
H.R. 6793,29
H.R. 6794,41
H.R. 6795,1
H.R. 6796,1
H.R. 6797,0
H.R. 6798,8
H.R. 6799,75
H.R. 6800,0
H.R. 6801,0
H.R. 6802,44
H.R. 6803,14
H.R. 6804,17
H.R. 6805,27
H.R. 6806,9
H.R. 6807,10
H.R. 6808,1
H.R. 6809,54
H.R. 6810,12
H.R. 6811,1
H.R. 6812,3
H.R. 6813,0
H.R. 6814,1
H.R. 6815,11
H.R. 6816,3
H.R. 6817,3
H.R. 6818,2
H.R. 6819,2
H.R. 6820,0
H.R. 6821,3
H.R. 6822,6
H.R. 6823,3
H.R. 6824,3
H.R. 6825,1
H.R. 6826,4
H.R. 6827,1
H.R. 6828,8
H.R. 6829,4
H.R. 6830,64
H.R. 6831,5
H.R. 6832,5
H.R. 6833,2
H.R. 6834,1
H.R. 6835,7
H.R. 6836,3
H.R. 6837,10
H.R. 6838,20
H.R. 6839,12
H.R. 6840,61
H.R. 6841,12
H.R. 6842,4
H.R. 6843,18
H.R. 6844,7
H.R. 6845,50
H.R. 6846,109
H.R. 6847,3
H.R. 6848,1
H.R. 6849,10
H.R. 6850,46
H.R. 6851,1
H.R. 6852,33
H.R. 6853,5
H.R. 6854,0
H.R. 6855,13
H.R. 6856,28
H.R. 6857,24
H.R. 6858,1
H.R. 6859,5
H.R. 6860,2
H.R. 6861,2
H.R. 6862,7
H.R. 6863,28
H.R. 6864,13
H.R. 6865,7
H.R. 6866,17
H.R. 6867,0
H.R. 6868,9
H.R. 6869,43
H.R. 6870,113
H.R. 6871,18
H.R. 6872,28
H.R. 6873,19
H.R. 6874,12
H.R. 6875,18
H.R. 6876,0
H.R. 6877,171
H.R. 6878,1
H.R. 6879,63
H.R. 6880,31
H.R. 6881,3
H.R. 6882,0
H.R. 6883,1
H.R. 6884,296
H.R. 6885,9
H.R. 6886,0
H.R. 6887,1
H.R. 6888,32
H.R. 6889,348
H.R. 6890,6
H.R. 6891,8
H.R. 6892,10
H.R. 6893,10
H.R. 6894,1
H.R. 6895,1
H.R. 6896,9
H.R. 6897,31
H.R. 6898,5
H.R. 6899,22
H.R. 6900,10
H.R. 6901,14
H.R. 6902,3
H.R. 6903,50
H.R. 6904,46
H.R. 6905,16
H.R. 6906,56
H.R. 6907,1
H.R. 6908,4
H.R. 6909,123
H.R. 6910,0
H.R. 6911,4
H.R. 6912,24
H.R. 6913,1
H.R. 6914,15
H.R. 6915,3
H.R. 6916,1
H.R. 6917,48
H.R. 6918,0
H.R. 6919,1
H.R. 6920,24
H.R. 6921,5
H.R. 6922,0
H.R. 6923,300
H.R. 6924,5
H.R. 6925,7
H.R. 6926,0
H.R. 6927,291
H.R. 6928,3
H.R. 6929,0
H.R. 6930,6
H.R. 6931,12
H.R. 6932,12
H.R. 6933,12
H.R. 6934,51
H.R. 6935,8
H.R. 6936,0
H.R. 6937,29
H.R. 6938,71
H.R. 6939,1
H.R. 6940,7
H.R. 6941,106
H.R. 6942,3
H.R. 6943,14
H.R. 6944,52
H.R. 6945,0
H.R. 6946,31
H.R. 6947,3
H.R. 6948,3
H.R. 6949,31
H.R. 6950,12
H.R. 6951,0
H.R. 6952,1
H.R. 6953,40
H.R. 6954,12
H.R. 6955,0
H.R. 6956,31
H.R. 6957,31
H.R. 6958,0
H.R. 6959,2
H.R. 6960,1
H.R. 6961,1
H.R. 6962,6
H.R. 6963,1
H.R. 6964,25
H.R. 6965,2
H.R. 6966,2
H.R. 6967,13
H.R. 6968,0
H.R. 6969,52
H.R. 6970,3
H.R. 6971,30
H.R. 6972,12
H.R. 6973,24
H.R. 6974,0
H.R. 6975,1
H.R. 6976,24
H.R. 6977,6
H.R. 6978,43
H.R. 6979,12
H.R. 6980,12
H.R. 6981,14
H.R. 6982,96
H.R. 6983,6
H.R. 6984,12
H.R. 6985,7
H.R. 6986,4
H.R. 6987,227
H.R. 6988,7
H.R. 6989,8
H.R. 6990,12
H.R. 6991,18
H.R. 6992,4
H.R. 6993,290
H.R. 6994,0
H.R. 6995,18
H.R. 6996,20
H.R. 6997,1
H.R. 6998,28
H.R. 6999,7
H.R. 7000,8
H.R. 7001,0
H.R. 7002,16
H.R. 7003,1
H.R. 7004,1
H.R. 7005,2
H.R. 7006,0
H.R. 7007,150
H.R. 7008,18
H.R. 7009,6
H.R. 7010,44
H.R. 7011,29
H.R. 7012,18
H.R. 7013,0
H.R. 7014,31
H.R. 7015,12
H.R. 7016,31
H.R. 7017,24
H.R. 7018,31
H.R. 7019,2
H.R. 7020,0
H.R. 7021,17
H.R. 7022,0
H.R. 7023,15
H.R. 7024,14
H.R. 7025,8
H.R. 7026,6
H.R. 7027,4
H.R. 7028,12
H.R. 7029,95
H.R. 7030,12
H.R. 7031,1
H.R. 7032,0
H.R. 7033,8
H.R. 7034,5
H.R. 7035,1
H.R. 7036,20
H.R. 7037,14
H.R. 7038,21
H.R. 7039,0
H.R. 7040,0
H.R. 7041,4
H.R. 7042,94
H.R. 7043,6
H.R. 7044,1
H.R. 7045,16
H.R. 7046,16
H.R. 7047,313
H.R. 7048,18
H.R. 7049,3
H.R. 7050,4
H.R. 7051,82
H.R. 7052,1
H.R. 7053,24
H.R. 7054,0
H.R. 7055,10
H.R. 7056,10
H.R. 7057,4
H.R. 7058,74
H.R. 7059,23
H.R. 7060,92
H.R. 7061,229
H.R. 7062,58
H.R. 7063,3
H.R. 7064,40
H.R. 7065,26
H.R. 7066,31
H.R. 7067,274
H.R. 7068,24
H.R. 7069,45
H.R. 7070,249
H.R. 7071,5
H.R. 7072,14
H.R. 7073,8
H.R. 7074,43
H.R. 7075,16
H.R. 7076,3
H.R. 7077,287
H.R. 7078,67
H.R. 7079,6
H.R. 7080,0
H.R. 7081,2
H.R. 7082,28
H.R. 7083,4
H.R. 7084,0
H.R. 7085,4
H.R. 7086,30
H.R. 7087,54
H.R. 7088,30
H.R. 7089,7
H.R. 7090,83
H.R. 7091,40
H.R. 7092,1
H.R. 7093,64
H.R. 781,3
H.R. 753,8
H.R. 742,1
H.R. 727,17
H.R. 710,36
H.R. 692,23
H.R. 660,5
H.R. 634,298
H.R. 625,52
H.R. 584,54
H.R. 577,31
H.R. 556,58
H.R. 544,7
H.R. 521,84
H.R. 514,24
H.R. 493,224
H.R. 475,2
H.R. 465,1
H.R. 437,31
H.R. 434,1
H.R. 433,16
H.R. 430,0
H.R. 414,0
H.R. 366,4
H.R. 365,122
H.R. 342,7
H.R. 335,0
H.R. 327,152
H.R. 188,3
H.R. 137,303
H.R. 57,0
H.R. 50,3
H.R. 49,6
H.R. 6,198
H.R. 1,205
H.J.Res. 100,0
H.J.Res. 93,32
H.J.Res. 72,0
H.J.Res. 70,260
H.J.Res. 69,0
H.J.Res. 62,83
H.J.Res. 52,0
H.J.Res. 44,29
H.J.Res. 43,0
H.J.Res. 20,0
S. 3712,2
S. 3663,1
S. 3641,1
S. 3606,0
S. 3605,1
S. 3598,13
S. 3597,0
S. 3569,4
S. 3560,1
S. 3550,0
S. 3536,0
S. 3477,3
S. 3406,77
S. 3370,6
S. 3352,0
S. 3325,21
S. 3298,15
S. 3296,1
S. 3295,1
S. 3294,1
S. 3241,1
S. 3218,1
S. 3197,2
S. 3180,0
S. 3145,1
S. 3128,0
S. 3082,1
S. 3035,0
S. 3029,1
S. 3023,1
S. 3015,1
S. 3009,1
S. 3001,0
S. 2982,1
S. 2967,2
S. 2954,0
S. 2932,25
S. 2929,0
S. 2903,0
S. 2840,5
S. 2837,0
S. 2829,19
S. 2816,2
S. 2766,39
S. 2745,1
S. 2739,0
S. 2733,0
S. 2617,11
S. 2607,4
S. 2606,12
S. 2571,1
S. 2565,10
S. 2516,1
S. 2499,1
S. 2488,17
S. 2484,3
S. 2482,0
S. 2478,2
S. 2457,1
S. 2450,2
S. 2436,1
S. 2420,6
S. 2403,1
S. 2371,0
S. 2339,1
S. 2304,5
S. 2272,1
S. 2271,0
S. 2258,0
S. 2206,7
S. 2174,1
S. 2162,12
S. 2146,5
S. 2135,9
S. 2110,1
S. 2106,7
S. 1983,1
S. 1927,1
S. 1916,3
S. 1896,1
S. 1868,1
S. 1858,21
S. 1810,6
S. 1760,18
S. 1738,60
S. 1716,12
S. 1704,1
S. 1701,1
S. 1692,11
S. 1612,0
S. 1582,3
S. 1537,1
S. 1492,22
S. 1396,0
S. 1382,77
S. 1352,1
S. 1276,14
S. 1245,3
S. 1193,1
S. 1104,11
S. 1099,2
S. 1046,0
S. 1002,2
S. 996,1
S. 975,5
S. 966,3
S. 906,5
S. 888,5
S. 863,5
S. 845,4
S. 801,1
S. 793,20
S. 781,2
S. 682,68
S. 676,2
S. 602,6
S. 597,62
S. 550,2
S. 521,0
S. 496,18
S. 494,7
S. 474,71
S. 431,20
S. 377,3
S. 375,1
S. 277,1
S. 254,99
S. 231,52
S. 229,1
S. 214,16
S. 188,5
S. 171,1
S. 159,1
S. 1,17
S.J.Res. 46,0
S.J.Res. 45,15
S.J.Res. 35,2
S.J.Res. 25,3
S.J.Res. 17,10
S.J.Res. 13,11
S.J.Res. 8,2
S.J.Res. 7,2
