Legislation Number,Number of Cosponsors
H.R. 2451,1
H.R. 2444,6
H.R. 2423,311
H.R. 2385,1
H.R. 2379,26
H.R. 2372,1
H.R. 2359,2
H.R. 2336,27
H.R. 2334,35
H.R. 2333,10
H.R. 2325,0
H.R. 2246,3
H.R. 2196,3
H.R. 2157,0
H.R. 2151,39
H.R. 2030,36
H.R. 1972,0
H.R. 1966,78
H.R. 1957,28
H.R. 1952,6
H.R. 1925,26
H.R. 1923,168
H.R. 1865,304
H.R. 1844,17
H.R. 1839,8
H.R. 1833,26
H.R. 1830,307
H.R. 1812,2
H.R. 1773,293
H.R. 1668,26
H.R. 1590,6
H.R. 1569,8
H.R. 1526,9
H.R. 1520,12
H.R. 1503,13
H.R. 1492,0
H.R. 1472,2
H.R. 1449,18
H.R. 1424,28
H.R. 1418,51
H.R. 1396,314
H.R. 1365,6
H.R. 1327,332
H.R. 1253,50
H.R. 1252,50
H.R. 1250,35
H.R. 1240,12
H.R. 1222,18
H.R. 1200,14
H.R. 1198,4
H.R. 1158,4
H.R. 1138,1
H.R. 1123,4
H.R. 1079,3
H.R. 1058,173
H.R. 991,26
H.R. 943,302
H.R. 887,3
H.R. 886,135
H.R. 866,4
H.R. 835,28
H.R. 831,3
H.R. 829,26
H.R. 828,26
H.R. 777,24
H.R. 776,19
H.R. 748,369
H.R. 724,301
H.R. 639,2
H.R. 583,9
H.R. 561,20
H.R. 559,2
H.R. 540,78
H.R. 504,15
H.R. 473,31
H.R. 439,5
H.R. 434,55
H.R. 430,1
H.R. 299,333
H.R. 276,57
H.R. 266,0
H.R. 263,26
H.R. 259,1
H.R. 251,7
H.R. 221,87
H.R. 150,15
H.R. 133,4
H.J.Res. 110,0
H.J.Res. 107,0
H.J.Res. 88,2
H.J.Res. 87,2
H.J.Res. 80,0
H.J.Res. 60,2
H.J.Res. 31,0
H.J.Res. 28,0
S. 5076,0
S. 5036,0
S. 4996,5
S. 4902,2
S. 4762,3
S. 4684,2
S. 4209,26
S. 4148,5
S. 4126,1
S. 4116,5
S. 4091,1
S. 4075,9
S. 4072,1
S. 4054,0
S. 3989,1
S. 3758,1
S. 3744,66
S. 3703,27
S. 3637,16
S. 3607,22
S. 3587,2
S. 3503,30
S. 3462,1
S. 3461,1
S. 3418,5
S. 3414,1
S. 3312,3
S. 3257,1
S. 3201,6
S. 3147,1
S. 3105,1
S. 3084,1
S. 3051,9
S. 2981,2
S. 2904,1
S. 2746,7
S. 2730,2
S. 2710,17
S. 2683,5
S. 2661,34
S. 2638,4
S. 2472,1
S. 2330,16
S. 2258,9
S. 2249,0
S. 2216,18
S. 2193,1
S. 2174,3
S. 2163,13
S. 2107,6
S. 2047,0
S. 1982,19
S. 1869,1
S. 1838,56
S. 1822,69
S. 1790,0
S. 1749,1
S. 1694,5
S. 1693,0
S. 1689,1
S. 1678,7
S. 1646,1
S. 1436,2
S. 1380,6
S. 1379,3
S. 1342,2
S. 1321,2
S. 1310,2
S. 1196,1
S. 1153,8
S. 1130,10
S. 1069,4
S. 1014,2
S. 998,21
S. 982,8
S. 979,5
S. 945,4
S. 914,3
S. 910,5
S. 900,1
S. 893,10
S. 881,1
S. 863,1
S. 862,3
S. 832,1
S. 785,53
S. 760,3
S. 744,3
S. 743,76
S. 737,8
S. 725,1
S. 693,7
S. 578,67
S. 504,35
S. 490,1
S. 483,2
S. 461,15
S. 457,66
S. 394,3
S. 375,3
S. 371,5
S. 327,4
S. 294,5
S. 256,10
S. 252,1
S. 239,83
S. 227,29
S. 216,1
S. 212,1
S. 209,5
S. 199,1
S. 163,1
S. 153,12
S. 151,84
S. 134,1
S. 50,3
S. 49,1
S. 47,15
S. 24,44
S.J.Res. 67,2
S.J.Res. 66,2
S.J.Res. 65,2
H.R. 7327,5
H.R. 7319,1
H.R. 7318,1
H.R. 7279,6
H.R. 7243,0
H.R. 7230,6
H.R. 7213,1
H.R. 7187,0
H.R. 7120,1
H.R. 6964,1
H.R. 6930,25
H.R. 6897,0
H.R. 6896,1
H.R. 6893,3
H.R. 6870,0
H.R. 6831,6
H.R. 6780,25
H.R. 6758,10
H.R. 6655,52
H.R. 6651,13
H.R. 6628,10
H.R. 6621,8
H.R. 6615,5
H.R. 6602,10
H.R. 6591,26
H.R. 6513,6
H.R. 6428,11
H.R. 6414,1
H.R. 6405,54
H.R. 6400,33
