Legislation Number,Congress
H.R. 3732,115th Congress (2017-2018)
H.R. 3731,115th Congress (2017-2018)
H.R. 3663,115th Congress (2017-2018)
H.R. 3656,115th Congress (2017-2018)
H.R. 3655,115th Congress (2017-2018)
H.R. 3638,115th Congress (2017-2018)
H.R. 3562,115th Congress (2017-2018)
H.R. 3460,115th Congress (2017-2018)
H.R. 3445,115th Congress (2017-2018)
H.R. 3398,115th Congress (2017-2018)
H.R. 3383,115th Congress (2017-2018)
H.R. 3369,115th Congress (2017-2018)
H.R. 3364,115th Congress (2017-2018)
H.R. 3359,115th Congress (2017-2018)
H.R. 3342,115th Congress (2017-2018)
H.R. 3298,115th Congress (2017-2018)
H.R. 3249,115th Congress (2017-2018)
H.R. 3243,115th Congress (2017-2018)
H.R. 3230,115th Congress (2017-2018)
H.R. 3218,115th Congress (2017-2018)
H.R. 3210,115th Congress (2017-2018)
H.R. 3184,115th Congress (2017-2018)
H.R. 3183,115th Congress (2017-2018)
H.R. 3122,115th Congress (2017-2018)
H.R. 3110,115th Congress (2017-2018)
H.R. 3109,115th Congress (2017-2018)
H.R. 3031,115th Congress (2017-2018)
H.R. 2989,115th Congress (2017-2018)
H.R. 2979,115th Congress (2017-2018)
H.R. 2873,115th Congress (2017-2018)
H.R. 2815,115th Congress (2017-2018)
H.R. 2810,115th Congress (2017-2018)
H.R. 2772,115th Congress (2017-2018)
H.R. 2673,115th Congress (2017-2018)
H.R. 2672,115th Congress (2017-2018)
H.R. 2615,115th Congress (2017-2018)
H.R. 2611,115th Congress (2017-2018)
H.R. 2606,115th Congress (2017-2018)
H.R. 2519,115th Congress (2017-2018)
H.R. 2464,115th Congress (2017-2018)
H.R. 2454,115th Congress (2017-2018)
H.R. 2430,115th Congress (2017-2018)
H.R. 2422,115th Congress (2017-2018)
H.R. 2353,115th Congress (2017-2018)
H.R. 2345,115th Congress (2017-2018)
H.R. 2333,115th Congress (2017-2018)
H.R. 2331,115th Congress (2017-2018)
H.R. 2302,115th Congress (2017-2018)
H.R. 2292,115th Congress (2017-2018)
H.R. 2288,115th Congress (2017-2018)
H.R. 2266,115th Congress (2017-2018)
H.R. 2259,115th Congress (2017-2018)
H.R. 2254,115th Congress (2017-2018)
H.R. 2229,115th Congress (2017-2018)
H.R. 2228,115th Congress (2017-2018)
H.R. 2210,115th Congress (2017-2018)
H.R. 2200,115th Congress (2017-2018)
H.R. 2154,115th Congress (2017-2018)
H.R. 2147,115th Congress (2017-2018)
H.R. 2142,115th Congress (2017-2018)
H.R. 2122,115th Congress (2017-2018)
H.R. 2061,115th Congress (2017-2018)
H.R. 1988,115th Congress (2017-2018)
H.R. 1927,115th Congress (2017-2018)
H.R. 1918,115th Congress (2017-2018)
H.R. 1900,115th Congress (2017-2018)
H.R. 1892,115th Congress (2017-2018)
H.R. 1872,115th Congress (2017-2018)
H.R. 1865,115th Congress (2017-2018)
H.R. 1861,115th Congress (2017-2018)
H.R. 1858,115th Congress (2017-2018)
H.R. 1850,115th Congress (2017-2018)
H.R. 1733,115th Congress (2017-2018)
H.R. 1725,115th Congress (2017-2018)
H.R. 1719,115th Congress (2017-2018)
H.R. 1679,115th Congress (2017-2018)
H.R. 1660,115th Congress (2017-2018)
H.R. 1625,115th Congress (2017-2018)
H.R. 1616,115th Congress (2017-2018)
H.R. 1551,115th Congress (2017-2018)
H.R. 1545,115th Congress (2017-2018)
H.R. 1496,115th Congress (2017-2018)
H.R. 1417,115th Congress (2017-2018)
H.R. 1397,115th Congress (2017-2018)
H.R. 1370,115th Congress (2017-2018)
H.R. 1362,115th Congress (2017-2018)
H.R. 1329,115th Congress (2017-2018)
H.R. 1318,115th Congress (2017-2018)
H.R. 1306,115th Congress (2017-2018)
H.R. 1301,115th Congress (2017-2018)
H.R. 1242,115th Congress (2017-2018)
H.R. 1238,115th Congress (2017-2018)
H.R. 1235,115th Congress (2017-2018)
H.R. 1228,115th Congress (2017-2018)
H.R. 1222,115th Congress (2017-2018)
H.R. 1211,115th Congress (2017-2018)
H.R. 1210,115th Congress (2017-2018)
H.R. 1209,115th Congress (2017-2018)
H.R. 1208,115th Congress (2017-2018)
H.R. 1207,115th Congress (2017-2018)
H.R. 1177,115th Congress (2017-2018)
H.R. 1162,115th Congress (2017-2018)
H.R. 1117,115th Congress (2017-2018)
H.R. 1109,115th Congress (2017-2018)
H.R. 1074,115th Congress (2017-2018)
H.R. 1037,115th Congress (2017-2018)
H.R. 984,115th Congress (2017-2018)
H.R. 954,115th Congress (2017-2018)
H.R. 951,115th Congress (2017-2018)
H.R. 931,115th Congress (2017-2018)
H.R. 873,115th Congress (2017-2018)
H.R. 863,115th Congress (2017-2018)
H.R. 770,115th Congress (2017-2018)
H.R. 767,115th Congress (2017-2018)
H.R. 754,115th Congress (2017-2018)
H.R. 699,115th Congress (2017-2018)
H.R. 698,115th Congress (2017-2018)
H.R. 672,115th Congress (2017-2018)
H.R. 657,115th Congress (2017-2018)
H.R. 624,115th Congress (2017-2018)
H.R. 609,115th Congress (2017-2018)
H.R. 606,115th Congress (2017-2018)
H.R. 601,115th Congress (2017-2018)
H.R. 589,115th Congress (2017-2018)
H.R. 582,115th Congress (2017-2018)
H.R. 560,115th Congress (2017-2018)
H.R. 535,115th Congress (2017-2018)
H.R. 534,115th Congress (2017-2018)
H.R. 518,115th Congress (2017-2018)
H.R. 510,115th Congress (2017-2018)
H.R. 452,115th Congress (2017-2018)
H.R. 447,115th Congress (2017-2018)
H.R. 446,115th Congress (2017-2018)
H.R. 390,115th Congress (2017-2018)
H.R. 381,115th Congress (2017-2018)
H.R. 375,115th Congress (2017-2018)
H.R. 374,115th Congress (2017-2018)
H.R. 366,115th Congress (2017-2018)
H.R. 353,115th Congress (2017-2018)
H.R. 339,115th Congress (2017-2018)
H.R. 321,115th Congress (2017-2018)
H.R. 315,115th Congress (2017-2018)
H.R. 304,115th Congress (2017-2018)
H.R. 302,115th Congress (2017-2018)
H.R. 294,115th Congress (2017-2018)
H.R. 274,115th Congress (2017-2018)
H.R. 267,115th Congress (2017-2018)
H.R. 255,115th Congress (2017-2018)
H.R. 244,115th Congress (2017-2018)
H.R. 228,115th Congress (2017-2018)
H.R. 220,115th Congress (2017-2018)
H.R. 219,115th Congress (2017-2018)
H.R. 195,115th Congress (2017-2018)
H.R. 194,115th Congress (2017-2018)
H.R. 72,115th Congress (2017-2018)
H.R. 46,115th Congress (2017-2018)
H.R. 39,115th Congress (2017-2018)
H.R. 6,115th Congress (2017-2018)
H.R. 2,115th Congress (2017-2018)
H.R. 1,115th Congress (2017-2018)
H.J.Res. 143,115th Congress (2017-2018)
H.J.Res. 123,115th Congress (2017-2018)
H.J.Res. 111,115th Congress (2017-2018)
H.J.Res. 99,115th Congress (2017-2018)
H.J.Res. 83,115th Congress (2017-2018)
H.J.Res. 76,115th Congress (2017-2018)
H.J.Res. 69,115th Congress (2017-2018)
H.J.Res. 67,115th Congress (2017-2018)
H.J.Res. 66,115th Congress (2017-2018)
H.J.Res. 58,115th Congress (2017-2018)
H.J.Res. 57,115th Congress (2017-2018)
H.J.Res. 44,115th Congress (2017-2018)
H.J.Res. 43,115th Congress (2017-2018)
H.J.Res. 42,115th Congress (2017-2018)
H.J.Res. 41,115th Congress (2017-2018)
H.J.Res. 40,115th Congress (2017-2018)
H.J.Res. 38,115th Congress (2017-2018)
H.J.Res. 37,115th Congress (2017-2018)
S. 3777,115th Congress (2017-2018)
S. 3749,115th Congress (2017-2018)
S. 3661,115th Congress (2017-2018)
S. 3628,115th Congress (2017-2018)
S. 3554,115th Congress (2017-2018)
S. 3530,115th Congress (2017-2018)
S. 3509,115th Congress (2017-2018)
S. 3508,115th Congress (2017-2018)
S. 3479,115th Congress (2017-2018)
S. 3456,115th Congress (2017-2018)
S. 3444,115th Congress (2017-2018)
S. 3442,115th Congress (2017-2018)
S. 3414,115th Congress (2017-2018)
S. 3389,115th Congress (2017-2018)
S. 3367,115th Congress (2017-2018)
S. 3354,115th Congress (2017-2018)
S. 3247,115th Congress (2017-2018)
S. 3237,115th Congress (2017-2018)
S. 3209,115th Congress (2017-2018)
S. 3191,115th Congress (2017-2018)
S. 3170,115th Congress (2017-2018)
S. 3119,115th Congress (2017-2018)
S. 3031,115th Congress (2017-2018)
S. 3029,115th Congress (2017-2018)
S. 3021,115th Congress (2017-2018)
S. 2961,115th Congress (2017-2018)
S. 2946,115th Congress (2017-2018)
S. 2896,115th Congress (2017-2018)
S. 2850,115th Congress (2017-2018)
S. 2779,115th Congress (2017-2018)
S. 2765,115th Congress (2017-2018)
S. 2736,115th Congress (2017-2018)
S. 2734,115th Congress (2017-2018)
S. 2692,115th Congress (2017-2018)
S. 2679,115th Congress (2017-2018)
S. 2652,115th Congress (2017-2018)
S. 2559,115th Congress (2017-2018)
S. 2554,115th Congress (2017-2018)
S. 2553,115th Congress (2017-2018)
S. 2511,115th Congress (2017-2018)
S. 2465,115th Congress (2017-2018)
S. 2377,115th Congress (2017-2018)
S. 2372,115th Congress (2017-2018)
S. 2278,115th Congress (2017-2018)
S. 2276,115th Congress (2017-2018)
S. 2273,115th Congress (2017-2018)
S. 2269,115th Congress (2017-2018)
S. 2248,115th Congress (2017-2018)
S. 2246,115th Congress (2017-2018)
S. 2245,115th Congress (2017-2018)
S. 2200,115th Congress (2017-2018)
S. 2155,115th Congress (2017-2018)
S. 2152,115th Congress (2017-2018)
S. 2101,115th Congress (2017-2018)
S. 2076,115th Congress (2017-2018)
S. 2074,115th Congress (2017-2018)
S. 2040,115th Congress (2017-2018)
S. 2030,115th Congress (2017-2018)
S. 1869,115th Congress (2017-2018)
S. 1866,115th Congress (2017-2018)
S. 1862,115th Congress (2017-2018)
S. 1768,115th Congress (2017-2018)
S. 1766,115th Congress (2017-2018)
S. 1668,115th Congress (2017-2018)
S. 1617,115th Congress (2017-2018)
S. 1616,115th Congress (2017-2018)
S. 1595,115th Congress (2017-2018)
S. 1580,115th Congress (2017-2018)
S. 1536,115th Congress (2017-2018)
S. 1532,115th Congress (2017-2018)
S. 1520,115th Congress (2017-2018)
S. 1438,115th Congress (2017-2018)
S. 1393,115th Congress (2017-2018)
S. 1312,115th Congress (2017-2018)
S. 1311,115th Congress (2017-2018)
S. 1285,115th Congress (2017-2018)
S. 1282,115th Congress (2017-2018)
S. 1266,115th Congress (2017-2018)
S. 1182,115th Congress (2017-2018)
S. 1158,115th Congress (2017-2018)
S. 1141,115th Congress (2017-2018)
S. 1094,115th Congress (2017-2018)
S. 1091,115th Congress (2017-2018)
S. 1083,115th Congress (2017-2018)
S. 1050,115th Congress (2017-2018)
S. 1023,115th Congress (2017-2018)
S. 994,115th Congress (2017-2018)
S. 943,115th Congress (2017-2018)
S. 931,115th Congress (2017-2018)
S. 920,115th Congress (2017-2018)
S. 899,115th Congress (2017-2018)
S. 831,115th Congress (2017-2018)
S. 825,115th Congress (2017-2018)
S. 810,115th Congress (2017-2018)
S. 791,115th Congress (2017-2018)
S. 782,115th Congress (2017-2018)
S. 772,115th Congress (2017-2018)
S. 770,115th Congress (2017-2018)
S. 756,115th Congress (2017-2018)
S. 717,115th Congress (2017-2018)
S. 652,115th Congress (2017-2018)
S. 585,115th Congress (2017-2018)
S. 583,115th Congress (2017-2018)
S. 544,115th Congress (2017-2018)
S. 534,115th Congress (2017-2018)
S. 512,115th Congress (2017-2018)
S. 504,115th Congress (2017-2018)
S. 496,115th Congress (2017-2018)
S. 490,115th Congress (2017-2018)
S. 447,115th Congress (2017-2018)
S. 442,115th Congress (2017-2018)
S. 440,115th Congress (2017-2018)
S. 419,115th Congress (2017-2018)
S. 371,115th Congress (2017-2018)
S. 327,115th Congress (2017-2018)
S. 324,115th Congress (2017-2018)
S. 305,115th Congress (2017-2018)
S. 292,115th Congress (2017-2018)
S. 245,115th Congress (2017-2018)
S. 204,115th Congress (2017-2018)
S. 190,115th Congress (2017-2018)
S. 188,115th Congress (2017-2018)
S. 178,115th Congress (2017-2018)
S. 167,115th Congress (2017-2018)
S. 140,115th Congress (2017-2018)
S. 139,115th Congress (2017-2018)
S. 117,115th Congress (2017-2018)
S. 114,115th Congress (2017-2018)
S. 97,115th Congress (2017-2018)
S. 96,115th Congress (2017-2018)
S. 84,115th Congress (2017-2018)
S. 35,115th Congress (2017-2018)
S. 7,115th Congress (2017-2018)
S.J.Res. 60,115th Congress (2017-2018)
S.J.Res. 57,115th Congress (2017-2018)
S.J.Res. 49,115th Congress (2017-2018)
S.J.Res. 36,115th Congress (2017-2018)
S.J.Res. 35,115th Congress (2017-2018)
S.J.Res. 34,115th Congress (2017-2018)
S.J.Res. 30,115th Congress (2017-2018)
S.J.Res. 1,115th Congress (2017-2018)
H.R. 6477,114th Congress (2015-2016)
H.R. 6452,114th Congress (2015-2016)
H.R. 6451,114th Congress (2015-2016)
H.R. 6450,114th Congress (2015-2016)
H.R. 6431,114th Congress (2015-2016)
H.R. 6416,114th Congress (2015-2016)
H.R. 6400,114th Congress (2015-2016)
H.R. 6323,114th Congress (2015-2016)
H.R. 6304,114th Congress (2015-2016)
H.R. 6302,114th Congress (2015-2016)
H.R. 6297,114th Congress (2015-2016)
H.R. 6282,114th Congress (2015-2016)
H.R. 6138,114th Congress (2015-2016)
H.R. 6130,114th Congress (2015-2016)
H.R. 6014,114th Congress (2015-2016)
H.R. 6007,114th Congress (2015-2016)
H.R. 5995,114th Congress (2015-2016)
H.R. 5985,114th Congress (2015-2016)
H.R. 5948,114th Congress (2015-2016)
H.R. 5946,114th Congress (2015-2016)
H.R. 5944,114th Congress (2015-2016)
H.R. 5937,114th Congress (2015-2016)
H.R. 5936,114th Congress (2015-2016)
H.R. 5889,114th Congress (2015-2016)
H.R. 5883,114th Congress (2015-2016)
H.R. 5877,114th Congress (2015-2016)
H.R. 5873,114th Congress (2015-2016)
H.R. 5798,114th Congress (2015-2016)
H.R. 5790,114th Congress (2015-2016)
H.R. 5785,114th Congress (2015-2016)
H.R. 5722,114th Congress (2015-2016)
H.R. 5687,114th Congress (2015-2016)
H.R. 5676,114th Congress (2015-2016)
H.R. 5612,114th Congress (2015-2016)
H.R. 5591,114th Congress (2015-2016)
H.R. 5588,114th Congress (2015-2016)
H.R. 5578,114th Congress (2015-2016)
H.R. 5509,114th Congress (2015-2016)
H.R. 5392,114th Congress (2015-2016)
H.R. 5356,114th Congress (2015-2016)
H.R. 5325,114th Congress (2015-2016)
H.R. 5309,114th Congress (2015-2016)
H.R. 5252,114th Congress (2015-2016)
H.R. 5150,114th Congress (2015-2016)
H.R. 5147,114th Congress (2015-2016)
H.R. 5111,114th Congress (2015-2016)
H.R. 5099,114th Congress (2015-2016)
H.R. 5065,114th Congress (2015-2016)
H.R. 5028,114th Congress (2015-2016)
H.R. 5015,114th Congress (2015-2016)
H.R. 4987,114th Congress (2015-2016)
H.R. 4975,114th Congress (2015-2016)
H.R. 4960,114th Congress (2015-2016)
H.R. 4957,114th Congress (2015-2016)
H.R. 4939,114th Congress (2015-2016)
H.R. 4925,114th Congress (2015-2016)
H.R. 4923,114th Congress (2015-2016)
H.R. 4904,114th Congress (2015-2016)
H.R. 4902,114th Congress (2015-2016)
H.R. 4887,114th Congress (2015-2016)
H.R. 4877,114th Congress (2015-2016)
H.R. 4875,114th Congress (2015-2016)
H.R. 4777,114th Congress (2015-2016)
H.R. 4761,114th Congress (2015-2016)
H.R. 4747,114th Congress (2015-2016)
H.R. 4721,114th Congress (2015-2016)
H.R. 4680,114th Congress (2015-2016)
H.R. 4665,114th Congress (2015-2016)
H.R. 4618,114th Congress (2015-2016)
H.R. 4605,114th Congress (2015-2016)
H.R. 4511,114th Congress (2015-2016)
H.R. 4465,114th Congress (2015-2016)
H.R. 4437,114th Congress (2015-2016)
H.R. 4425,114th Congress (2015-2016)
H.R. 4419,114th Congress (2015-2016)
H.R. 4372,114th Congress (2015-2016)
H.R. 4352,114th Congress (2015-2016)
H.R. 4336,114th Congress (2015-2016)
H.R. 4246,114th Congress (2015-2016)
H.R. 4238,114th Congress (2015-2016)
H.R. 4188,114th Congress (2015-2016)
H.R. 4056,114th Congress (2015-2016)
H.R. 4046,114th Congress (2015-2016)
H.R. 4010,114th Congress (2015-2016)
H.R. 3996,114th Congress (2015-2016)
H.R. 3969,114th Congress (2015-2016)
H.R. 3953,114th Congress (2015-2016)
H.R. 3937,114th Congress (2015-2016)
H.R. 3931,114th Congress (2015-2016)
H.R. 3866,114th Congress (2015-2016)
H.R. 3842,114th Congress (2015-2016)
H.R. 3831,114th Congress (2015-2016)
H.R. 3819,114th Congress (2015-2016)
H.R. 3784,114th Congress (2015-2016)
H.R. 3766,114th Congress (2015-2016)
H.R. 3735,114th Congress (2015-2016)
H.R. 3700,114th Congress (2015-2016)
H.R. 3614,114th Congress (2015-2016)
H.R. 3601,114th Congress (2015-2016)
H.R. 3594,114th Congress (2015-2016)
H.R. 3471,114th Congress (2015-2016)
H.R. 3274,114th Congress (2015-2016)
H.R. 3262,114th Congress (2015-2016)
H.R. 3236,114th Congress (2015-2016)
H.R. 3218,114th Congress (2015-2016)
H.R. 3209,114th Congress (2015-2016)
H.R. 3116,114th Congress (2015-2016)
H.R. 3114,114th Congress (2015-2016)
H.R. 3082,114th Congress (2015-2016)
H.R. 3059,114th Congress (2015-2016)
H.R. 3033,114th Congress (2015-2016)
H.R. 3004,114th Congress (2015-2016)
H.R. 2928,114th Congress (2015-2016)
H.R. 2908,114th Congress (2015-2016)
H.R. 2835,114th Congress (2015-2016)
H.R. 2820,114th Congress (2015-2016)
H.R. 2814,114th Congress (2015-2016)
H.R. 2733,114th Congress (2015-2016)
H.R. 2726,114th Congress (2015-2016)
H.R. 2722,114th Congress (2015-2016)
H.R. 2693,114th Congress (2015-2016)
H.R. 2620,114th Congress (2015-2016)
H.R. 2617,114th Congress (2015-2016)
H.R. 2615,114th Congress (2015-2016)
H.R. 2607,114th Congress (2015-2016)
H.R. 2576,114th Congress (2015-2016)
H.R. 2559,114th Congress (2015-2016)
H.R. 2499,114th Congress (2015-2016)
H.R. 2496,114th Congress (2015-2016)
H.R. 2494,114th Congress (2015-2016)
H.R. 2458,114th Congress (2015-2016)
H.R. 2353,114th Congress (2015-2016)
H.R. 2297,114th Congress (2015-2016)
H.R. 2270,114th Congress (2015-2016)
H.R. 2262,114th Congress (2015-2016)
H.R. 2252,114th Congress (2015-2016)
H.R. 2250,114th Congress (2015-2016)
H.R. 2212,114th Congress (2015-2016)
H.R. 2146,114th Congress (2015-2016)
H.R. 2137,114th Congress (2015-2016)
H.R. 2131,114th Congress (2015-2016)
H.R. 2051,114th Congress (2015-2016)
H.R. 2048,114th Congress (2015-2016)
H.R. 2029,114th Congress (2015-2016)
H.R. 2028,114th Congress (2015-2016)
H.R. 1884,114th Congress (2015-2016)
H.R. 1831,114th Congress (2015-2016)
H.R. 1762,114th Congress (2015-2016)
H.R. 1755,114th Congress (2015-2016)
H.R. 1690,114th Congress (2015-2016)
H.R. 1670,114th Congress (2015-2016)
H.R. 1626,114th Congress (2015-2016)
H.R. 1624,114th Congress (2015-2016)
H.R. 1531,114th Congress (2015-2016)
H.R. 1527,114th Congress (2015-2016)
H.R. 1493,114th Congress (2015-2016)
H.R. 1475,114th Congress (2015-2016)
H.R. 1442,114th Congress (2015-2016)
H.R. 1428,114th Congress (2015-2016)
H.R. 1350,114th Congress (2015-2016)
H.R. 1326,114th Congress (2015-2016)
H.R. 1321,114th Congress (2015-2016)
H.R. 1314,114th Congress (2015-2016)
H.R. 1295,114th Congress (2015-2016)
H.R. 1213,114th Congress (2015-2016)
H.R. 1191,114th Congress (2015-2016)
H.R. 1150,114th Congress (2015-2016)
H.R. 1138,114th Congress (2015-2016)
H.R. 1132,114th Congress (2015-2016)
H.R. 1092,114th Congress (2015-2016)
H.R. 1075,114th Congress (2015-2016)
H.R. 1020,114th Congress (2015-2016)
H.R. 960,114th Congress (2015-2016)
H.R. 907,114th Congress (2015-2016)
H.R. 893,114th Congress (2015-2016)
H.R. 891,114th Congress (2015-2016)
H.R. 890,114th Congress (2015-2016)
H.R. 876,114th Congress (2015-2016)
H.R. 875,114th Congress (2015-2016)
H.R. 845,114th Congress (2015-2016)
H.R. 812,114th Congress (2015-2016)
H.R. 774,114th Congress (2015-2016)
H.R. 757,114th Congress (2015-2016)
H.R. 728,114th Congress (2015-2016)
H.R. 720,114th Congress (2015-2016)
H.R. 719,114th Congress (2015-2016)
H.R. 710,114th Congress (2015-2016)
H.R. 651,114th Congress (2015-2016)
H.R. 644,114th Congress (2015-2016)
H.R. 639,114th Congress (2015-2016)
H.R. 636,114th Congress (2015-2016)
H.R. 623,114th Congress (2015-2016)
H.R. 615,114th Congress (2015-2016)
H.R. 606,114th Congress (2015-2016)
H.R. 558,114th Congress (2015-2016)
H.R. 533,114th Congress (2015-2016)
H.R. 515,114th Congress (2015-2016)
H.R. 487,114th Congress (2015-2016)
H.R. 433,114th Congress (2015-2016)
H.R. 431,114th Congress (2015-2016)
H.R. 324,114th Congress (2015-2016)
H.R. 323,114th Congress (2015-2016)
H.R. 322,114th Congress (2015-2016)
H.R. 313,114th Congress (2015-2016)
H.R. 240,114th Congress (2015-2016)
H.R. 212,114th Congress (2015-2016)
H.R. 208,114th Congress (2015-2016)
H.R. 203,114th Congress (2015-2016)
H.R. 136,114th Congress (2015-2016)
H.R. 91,114th Congress (2015-2016)
H.R. 34,114th Congress (2015-2016)
H.R. 33,114th Congress (2015-2016)
H.R. 26,114th Congress (2015-2016)
H.R. 23,114th Congress (2015-2016)
H.R. 22,114th Congress (2015-2016)
H.R. 2,114th Congress (2015-2016)
H.J.Res. 78,114th Congress (2015-2016)
H.J.Res. 76,114th Congress (2015-2016)
H.J.Res. 10,114th Congress (2015-2016)
S. 3492,114th Congress (2015-2016)
S. 3395,114th Congress (2015-2016)
S. 3283,114th Congress (2015-2016)
S. 3207,114th Congress (2015-2016)
S. 3183,114th Congress (2015-2016)
S. 3084,114th Congress (2015-2016)
S. 3076,114th Congress (2015-2016)
S. 3055,114th Congress (2015-2016)
S. 3028,114th Congress (2015-2016)
S. 2974,114th Congress (2015-2016)
S. 2971,114th Congress (2015-2016)
S. 2943,114th Congress (2015-2016)
S. 2893,114th Congress (2015-2016)
S. 2873,114th Congress (2015-2016)
S. 2854,114th Congress (2015-2016)
S. 2845,114th Congress (2015-2016)
S. 2840,114th Congress (2015-2016)
S. 2755,114th Congress (2015-2016)
S. 2754,114th Congress (2015-2016)
S. 2683,114th Congress (2015-2016)
S. 2577,114th Congress (2015-2016)
S. 2512,114th Congress (2015-2016)
S. 2487,114th Congress (2015-2016)
S. 2426,114th Congress (2015-2016)
S. 2425,114th Congress (2015-2016)
S. 2393,114th Congress (2015-2016)
S. 2328,114th Congress (2015-2016)
S. 2276,114th Congress (2015-2016)
S. 2234,114th Congress (2015-2016)
S. 2162,114th Congress (2015-2016)
S. 2152,114th Congress (2015-2016)
S. 2143,114th Congress (2015-2016)
S. 2133,114th Congress (2015-2016)
S. 2109,114th Congress (2015-2016)
S. 2082,114th Congress (2015-2016)
S. 2078,114th Congress (2015-2016)
S. 2040,114th Congress (2015-2016)
S. 2036,114th Congress (2015-2016)
S. 1915,114th Congress (2015-2016)
S. 1890,114th Congress (2015-2016)
S. 1878,114th Congress (2015-2016)
S. 1826,114th Congress (2015-2016)
S. 1808,114th Congress (2015-2016)
S. 1707,114th Congress (2015-2016)
S. 1698,114th Congress (2015-2016)
S. 1638,114th Congress (2015-2016)
S. 1635,114th Congress (2015-2016)
S. 1632,114th Congress (2015-2016)
S. 1629,114th Congress (2015-2016)
S. 1596,114th Congress (2015-2016)
S. 1580,114th Congress (2015-2016)
S. 1579,114th Congress (2015-2016)
S. 1568,114th Congress (2015-2016)
S. 1555,114th Congress (2015-2016)
S. 1550,114th Congress (2015-2016)
S. 1523,114th Congress (2015-2016)
S. 1492,114th Congress (2015-2016)
S. 1482,114th Congress (2015-2016)
S. 1461,114th Congress (2015-2016)
S. 1362,114th Congress (2015-2016)
S. 1359,114th Congress (2015-2016)
S. 1356,114th Congress (2015-2016)
S. 1300,114th Congress (2015-2016)
S. 1252,114th Congress (2015-2016)
S. 1180,114th Congress (2015-2016)
S. 1177,114th Congress (2015-2016)
S. 1172,114th Congress (2015-2016)
S. 1170,114th Congress (2015-2016)
S. 1124,114th Congress (2015-2016)
S. 1115,114th Congress (2015-2016)
S. 1090,114th Congress (2015-2016)
S. 1004,114th Congress (2015-2016)
S. 994,114th Congress (2015-2016)
S. 986,114th Congress (2015-2016)
S. 984,114th Congress (2015-2016)
S. 971,114th Congress (2015-2016)
S. 818,114th Congress (2015-2016)
S. 817,114th Congress (2015-2016)
S. 808,114th Congress (2015-2016)
S. 802,114th Congress (2015-2016)
S. 799,114th Congress (2015-2016)
S. 795,114th Congress (2015-2016)
S. 764,114th Congress (2015-2016)
S. 719,114th Congress (2015-2016)
S. 665,114th Congress (2015-2016)
S. 614,114th Congress (2015-2016)
S. 612,114th Congress (2015-2016)
S. 611,114th Congress (2015-2016)
S. 599,114th Congress (2015-2016)
S. 565,114th Congress (2015-2016)
S. 546,114th Congress (2015-2016)
S. 535,114th Congress (2015-2016)
S. 524,114th Congress (2015-2016)
S. 501,114th Congress (2015-2016)
S. 483,114th Congress (2015-2016)
S. 337,114th Congress (2015-2016)
S. 261,114th Congress (2015-2016)
S. 246,114th Congress (2015-2016)
S. 238,114th Congress (2015-2016)
S. 230,114th Congress (2015-2016)
S. 192,114th Congress (2015-2016)
S. 184,114th Congress (2015-2016)
S. 179,114th Congress (2015-2016)
S. 178,114th Congress (2015-2016)
S. 142,114th Congress (2015-2016)
S. 139,114th Congress (2015-2016)
S. 136,114th Congress (2015-2016)
S. 125,114th Congress (2015-2016)
S. 32,114th Congress (2015-2016)
H.R. 5859,113th Congress (2013-2014)
H.R. 5816,113th Congress (2013-2014)
H.R. 5771,113th Congress (2013-2014)
H.R. 5739,113th Congress (2013-2014)
H.R. 5728,113th Congress (2013-2014)
H.R. 5705,113th Congress (2013-2014)
H.R. 5687,113th Congress (2013-2014)
H.R. 5681,113th Congress (2013-2014)
H.R. 5562,113th Congress (2013-2014)
H.R. 5462,113th Congress (2013-2014)
H.R. 5441,113th Congress (2013-2014)
H.R. 5404,113th Congress (2013-2014)
H.R. 5331,113th Congress (2013-2014)
H.R. 5195,113th Congress (2013-2014)
H.R. 5185,113th Congress (2013-2014)
H.R. 5134,113th Congress (2013-2014)
H.R. 5108,113th Congress (2013-2014)
H.R. 5106,113th Congress (2013-2014)
H.R. 5069,113th Congress (2013-2014)
H.R. 5062,113th Congress (2013-2014)
H.R. 5057,113th Congress (2013-2014)
H.R. 5050,113th Congress (2013-2014)
H.R. 5030,113th Congress (2013-2014)
H.R. 5021,113th Congress (2013-2014)
H.R. 4994,113th Congress (2013-2014)
H.R. 4980,113th Congress (2013-2014)
H.R. 4939,113th Congress (2013-2014)
H.R. 4926,113th Congress (2013-2014)
H.R. 4924,113th Congress (2013-2014)
H.R. 4919,113th Congress (2013-2014)
H.R. 4838,113th Congress (2013-2014)
H.R. 4812,113th Congress (2013-2014)
H.R. 4809,113th Congress (2013-2014)
H.R. 4771,113th Congress (2013-2014)
H.R. 4751,113th Congress (2013-2014)
H.R. 4681,113th Congress (2013-2014)
H.R. 4651,113th Congress (2013-2014)
H.R. 4631,113th Congress (2013-2014)
H.R. 4488,113th Congress (2013-2014)
H.R. 4443,113th Congress (2013-2014)
H.R. 4416,113th Congress (2013-2014)
H.R. 4386,113th Congress (2013-2014)
H.R. 4360,113th Congress (2013-2014)
H.R. 4323,113th Congress (2013-2014)
H.R. 4302,113th Congress (2013-2014)
H.R. 4276,113th Congress (2013-2014)
H.R. 4275,113th Congress (2013-2014)
H.R. 4199,113th Congress (2013-2014)
